#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
201,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98576
202,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98584
203,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98593
204,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98595
205,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98602
206,OTHER (SPECIFY),,,,,,,,,,,,,,,,,98603
207,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98622
208,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98623
209,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98626
210,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98658
211,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98662
212,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98664
213,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98665
214,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98668
215,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4, 9 MM,2,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,OVER 15FT,NONE,SITTING,98671
